NAME,GEO_ID,RCPSZFI,NAICS2017_LABEL,ETH_GROUP,SEX,EMPSZFI,EMP,FIRMPDEMP,NAICS2017,metropolitan statistical area/micropolitan statistical area
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,001,001,2232129,171832,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,001,611,0,26336,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,001,612,173439,96922,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,001,620,136328,20777,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,001,630,160530,12216,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,001,641,222934,7638,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,001,642,132530,2260,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,001,651,194366,1758,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,001,652,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,001,657,1069527,2887,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,511,Total for all sectors,001,001,001,2152,1233,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,518,Total for all sectors,001,001,001,527,1115,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,519,Total for all sectors,001,001,001,10489,4375,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,521,Total for all sectors,001,001,001,10405,8950,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,522,Total for all sectors,001,001,001,18500,17632,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,523,Total for all sectors,001,001,001,51501,35846,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,525,Total for all sectors,001,001,001,79973,31088,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,531,Total for all sectors,001,001,001,131663,27422,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,532,Total for all sectors,001,001,001,1926920,44173,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,002,001,213294,39597,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,002,611,0,6809,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,002,612,41110,23733,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,002,620,30447,4624,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,002,630,34065,2590,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,002,641,36591,1251,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,002,642,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,002,651,6642,75,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,002,652,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,002,657,34970,100,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,511,Total for all sectors,001,002,001,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,518,Total for all sectors,001,002,001,143,291,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,519,Total for all sectors,001,002,001,1036,1139,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,521,Total for all sectors,001,002,001,2348,2495,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,522,Total for all sectors,001,002,001,5591,5443,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,523,Total for all sectors,001,002,001,14067,9747,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,525,Total for all sectors,001,002,001,18579,6877,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,531,Total for all sectors,001,002,001,27227,5469,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,532,Total for all sectors,001,002,001,144067,7837,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,003,001,859970,101148,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,003,611,0,15159,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,003,612,102632,57234,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,003,620,86287,13165,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,003,630,93327,7080,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,003,641,138289,4677,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,003,642,68825,1366,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,003,651,135380,1180,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,003,652,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,003,657,170462,756,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,511,Total for all sectors,001,003,001,1028,775,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,518,Total for all sectors,001,003,001,339,661,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,519,Total for all sectors,001,003,001,8676,2641,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,521,Total for all sectors,001,003,001,6167,4871,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,522,Total for all sectors,001,003,001,9515,9104,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,523,Total for all sectors,001,003,001,29396,20485,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,525,Total for all sectors,001,003,001,47264,19283,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,531,Total for all sectors,001,003,001,77572,17139,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,532,Total for all sectors,001,003,001,680013,26192,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,004,001,172186,25831,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,004,611,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,004,612,27435,14950,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,004,620,16672,2536,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,004,630,28598,2206,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,004,641,37154,1345,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,004,642,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,004,651,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,004,652,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,001,004,657,7714,36,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,511,Total for all sectors,001,004,001,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,518,Total for all sectors,001,004,001,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,519,Total for all sectors,001,004,001,185,587,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,521,Total for all sectors,001,004,001,1858,1560,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,522,Total for all sectors,001,004,001,3261,2988,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,523,Total for all sectors,001,004,001,7450,5371,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,525,Total for all sectors,001,004,001,12491,4499,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,531,Total for all sectors,001,004,001,23365,4250,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,532,Total for all sectors,001,004,001,123384,6267,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,020,001,001,296017,48219,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,020,001,611,0,6615,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,020,001,612,52502,29376,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,020,001,620,43043,6415,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,020,001,630,44182,3170,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,020,001,641,52536,1785,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,020,001,642,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,020,001,651,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,020,001,652,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,001,Total for all sectors,020,001,657,19815,32,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,511,Total for all sectors,020,001,001,272,450,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,518,Total for all sectors,020,001,001,0,0,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,519,Total for all sectors,020,001,001,868,1249,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,521,Total for all sectors,020,001,001,2272,2580,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,522,Total for all sectors,020,001,001,6172,5627,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,523,Total for all sectors,020,001,001,16911,11372,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,525,Total for all sectors,020,001,001,23263,8749,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,531,Total for all sectors,020,001,001,37988,7658,00,33100
"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",310M400US33100,532,Total for all sectors,020,001,001,208118,10243,00,33100
