NAME,GEO_ID,RCPSZFI,NAICS2017_LABEL,ETH_GROUP,SEX,EMPSZFI,EMP,FIRMPDEMP,NAICS2017,metropolitan statistical area/micropolitan statistical area
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,001,001,1147469,64459,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,001,611,0,8638,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,001,612,60909,32788,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,001,620,59736,9108,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,001,630,69697,5221,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,001,641,101644,3630,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,001,642,68399,1215,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,001,651,91344,954,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,001,652,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,001,657,652090,2282,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,511,Total for all sectors,001,001,001,946,527,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,518,Total for all sectors,001,001,001,312,554,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,519,Total for all sectors,001,001,001,1436,1444,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,521,Total for all sectors,001,001,001,2832,2903,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,522,Total for all sectors,001,001,001,7682,6562,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,523,Total for all sectors,001,001,001,24545,13107,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,525,Total for all sectors,001,001,001,35532,11657,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,531,Total for all sectors,001,001,001,54755,9591,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,532,Total for all sectors,001,001,001,1019429,18114,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,002,001,85454,13535,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,002,611,0,2089,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,002,612,13415,7543,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,002,620,13502,2023,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,002,630,15231,1076,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,002,641,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,002,642,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,002,651,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,002,652,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,002,657,13890,57,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,511,Total for all sectors,001,002,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,518,Total for all sectors,001,002,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,519,Total for all sectors,001,002,001,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,521,Total for all sectors,001,002,001,519,836,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,522,Total for all sectors,001,002,001,2474,1765,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,523,Total for all sectors,001,002,001,6169,3315,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,525,Total for all sectors,001,002,001,10277,2583,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,531,Total for all sectors,001,002,001,11229,1987,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,532,Total for all sectors,001,002,001,54011,2474,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,003,001,378308,38379,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,003,611,0,5507,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,003,612,37213,20078,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,003,620,34777,5332,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,003,630,39248,3030,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,003,641,62544,2197,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,003,642,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,003,651,0,0,00,45300
"Tampa-St. Petersburg-Clearwater, FL Metro Area",310M400US45300,001,Total for all sectors,001,003,652,0,0,00,45300
