NAME,GEO_ID,RCPSZFI,NAICS2017_LABEL,ETH_GROUP,SEX,EMPSZFI,EMP,FIRMPDEMP,NAICS2017,metropolitan statistical area/micropolitan statistical area
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,001,620,44407,6765,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,001,001,1132395,54517,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,001,611,0,7820,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,001,612,51815,28568,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,001,630,54507,4120,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,001,641,74497,2692,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,001,642,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,001,651,76534,703,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,001,652,78170,700,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,001,657,697254,2198,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,511,Total for all sectors,001,001,001,1386,441,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,518,Total for all sectors,001,001,001,819,632,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,519,Total for all sectors,001,001,001,1907,1787,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,521,Total for all sectors,001,001,001,2114,2518,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,522,Total for all sectors,001,001,001,6874,6048,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,523,Total for all sectors,001,001,001,20355,11572,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,525,Total for all sectors,001,001,001,28737,9309,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,531,Total for all sectors,001,001,001,41905,7593,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,532,Total for all sectors,001,001,001,1028298,14618,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,002,001,61850,11565,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,002,611,0,2014,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,002,612,12930,6785,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,002,620,9656,1507,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,002,630,8036,679,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,002,641,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,002,642,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,002,651,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,002,652,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,519,Total for all sectors,001,002,001,101,386,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,002,657,9821,48,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,511,Total for all sectors,001,002,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,518,Total for all sectors,001,002,001,43,160,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,521,Total for all sectors,001,002,001,680,737,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,522,Total for all sectors,001,002,001,1343,1540,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,523,Total for all sectors,001,002,001,5286,2802,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,525,Total for all sectors,001,002,001,7387,2303,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,531,Total for all sectors,001,002,001,7147,1577,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,532,Total for all sectors,001,002,001,39825,1914,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,003,620,23490,3577,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,003,001,363223,31628,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,003,611,0,4680,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,003,612,30157,16906,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,003,630,37938,2812,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,003,641,48464,1817,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,003,642,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,003,651,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,003,652,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,003,657,108298,521,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,511,Total for all sectors,001,003,001,1316,237,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,518,Total for all sectors,001,003,001,766,405,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,519,Total for all sectors,001,003,001,1621,1164,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,521,Total for all sectors,001,003,001,1228,1545,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,522,Total for all sectors,001,003,001,4169,3274,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,523,Total for all sectors,001,003,001,11052,6576,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,525,Total for all sectors,001,003,001,15845,5571,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,531,Total for all sectors,001,003,001,26812,4585,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,532,Total for all sectors,001,003,001,300413,8267,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,001,75492,8388,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,611,0,1108,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,612,8290,4614,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,642,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,620,9377,1394,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,630,7130,513,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,641,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,651,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,652,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,001,004,657,3233,21,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,521,Total for all sectors,001,004,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,511,Total for all sectors,001,004,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,518,Total for all sectors,001,004,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,519,Total for all sectors,001,004,001,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,522,Total for all sectors,001,004,001,1324,1204,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,523,Total for all sectors,001,004,001,3793,2119,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,525,Total for all sectors,001,004,001,4746,1309,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,531,Total for all sectors,001,004,001,7305,1319,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,532,Total for all sectors,001,004,001,57911,1873,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,001,32818,7407,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,611,0,1266,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,612,7726,4350,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,620,5423,876,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,630,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,652,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,641,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,642,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,651,0,0,00,36740
"Orlando-Kissimmee-Sanford, FL Metro Area",310M400US36740,001,Total for all sectors,020,001,657,0,0,00,36740
